_id,abrasion,brand,certifications,cleaningCode,colors,content.polyester,fabric,finish,horizontalRepeat,image,leadTime,moq,origin,pattern,patternType,price,railRoaded,sku,theme,use,verticalRepeat,width
644085a13fa8c86a031f5cd9,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3124.290.2604.7/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""2604""",Grand,curtain,0,300
644085a13fa8c86a031f5cda,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21098.4/1_MidSize.jpg,3,100,Türkiye,"[""polkadot"",""hstripe""]",,0,0,"""21098""",Grand,curtain,0,300
644085a13fa8c86a031f5cdb,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21097.2/1_MidSize.jpg,3,100,Türkiye,"[""polkadot"",""hstripe""]",,0,0,"""21097""",Grand,curtain,0,300
644085a13fa8c86a031f5cdc,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21095.3/1_MidSize.jpg,3,100,Türkiye,"[""damask"",""hstripe""]",,0,0,"""21095""",Grand,curtain,0,300
644085a13fa8c86a031f5cdd,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21094.3/1_MidSize.jpg,3,100,Türkiye,"[""ornate"",""hstripe""]",,0,0,"""21094""",Grand,curtain,0,300
644085a13fa8c86a031f5cde,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21093.1/1_MidSize.jpg,3,100,Türkiye,"[""damask"",""hstripe""]",,0,0,"""21093""",Grand,curtain,0,300
644085a13fa8c86a031f5cdf,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21092.4/1_MidSize.jpg,3,100,Türkiye,"[""damask"",""hstripe""]",,0,0,"""21092""",Grand,curtain,0,300
644085a13fa8c86a031f5ce0,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21090.3/1_MidSize.jpg,3,100,Türkiye,"[""damask"",""hstripe""]",,0,0,"""21090""",Grand,curtain,0,300
644085a13fa8c86a031f5ce1,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21089.1/1_MidSize.jpg,3,100,Türkiye,"[""abstract"",""hstripe""]",,0,0,"""21089""",Grand,curtain,0,300
644085a13fa8c86a031f5ce2,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3004.290.21088.4/1_MidSize.jpg,3,100,Türkiye,"[""hstripe""]",,0,0,"""21088""",Grand,curtain,0,300
644085a13fa8c86a031f5ce3,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3107.300.370596.13/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""370596""",Grand,curtain,0,300
644085a13fa8c86a031f5ce4,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3107.300.370595.13/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""370595""",Grand,curtain,0,300
644085a13fa8c86a031f5ce5,0,Kismet,[],W,[],100,"[""opaque""]",FR,0,http://kismettekstil.com/Content/Images/3107.300.370510.13/1_MidSize.jpg,3,100,Türkiye,"[""damask""]",,0,0,"""370510""",Grand,curtain,0,300
644085a13fa8c86a031f5ce6,0,Kismet,[],W,[],100,"[""sheer""]",FR,0,http://kismettekstil.com/Content/Images/3037.300.2577.20/1_MidSize.jpg,3,100,Türkiye,"[""vstripe""]",,0,0,"""2577""",Grand,curtain,0,300
