sku,width,content,price,name,brand,style,pattern,patternType,theme,origin,abrasion,use,image,certifications,colors,leadTime,moq,railRoaded,verticalRepeat,horizontalRepeat,finish,cleaningCode
12103,300,"{""polyester"":100}",0,Macie,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5005.290.12103.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
12102,300,"{""polyester"":100}",0,Elaina,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5005.290.12102.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
12101,300,"{""polyester"":100}",0,Saniyah,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5005.290.12101.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
21010,300,"{""polyester"":100}",0,Ashlynn,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.21010.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
21007,300,"{""polyester"":100}",0,Ashleigh,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.21007.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
21002,300,"{""polyester"":100}",0,Giada,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.21002.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
21000,300,"{""polyester"":100}",0,Jordan,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.21000.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
13519,300,"{""polyester"":100}",0,Juliana,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.13519.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
13518,300,"{""polyester"":100}",0,Adrianna,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.13518.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
13515,300,"{""polyester"":100}",0,Alia,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.13515.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
13507,300,"{""polyester"":100}",0,Emelia,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.13507.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
13505,300,"{""polyester"":100}",0,Allie,Kismet,embroidery,,embroidery,Vintage,Türkiye,0,curtain,http://kismettekstil.com/Content/Images/5652.290.13505.2/1_MidSize.jpg,[],[],3,100,0,0,0,FR,W
